id,Battle,Date,State,CWSAC,Outcome
189,Battle of Dead Buffalo Lake,"July 26, 1863","North Dakota
(Dakota Territory
at the time)",D,* Sioux Wars/Dakota War of 1862: Sibley defeats Sioux forces.
190,Battle of Salineville,"July 26, 1863",Ohio,D,Union victory: Confederate Brigadier General John Hunt Morgan surrenders in Ohio: the northernmost U.S. Civil War Battle.
191,Battle of Stony Lake,"July 28, 1863","North Dakota
(Dakota Territory
at the time)",D,* Dakota War of 1862: Sioux forces escape Union forces in pursuit.
192,Second Battle of Fort Sumter,"August 17 –
September 9, 1863",South Carolina,B,Confederate victory: Union's massive bombardment and naval attack fails to retake the fort.
193,Second Battle of Charleston Harbor,"August 17 –
September 8, 1863",South Carolina,B,Inconclusive:
194,Second Battle of Chattanooga,"August 21 –
September 8, 1863",Tennessee,D,Union victory: Union captures town.
195,"Lawrence Massacre
(Quantrill's Raid)","August 23, 1863",Kansas,C,Confederate victory: Quantrill's Raiders pillage the city.
196,Battle of Devil's Backbone,"September 1, 1863",Arkansas,C,Union victory: Union victory after heavy fighting.
197,Battle of Whitestone Hill,"September 3–5, 1863","North Dakota
(Dakota Territory
at the time)",D,* Sioux Wars/Dakota War of 1862: Union forces defeat several Native American tribes including Sioux and Blackfeet.
198,Second Battle of Sabine Pass,"September 8, 1863",Texas,B,Confederate victory: Confederate forces place stakes in river to help aim their guns at Union ships.
199,Battle of Bayou Fourche,"September 10, 1863",Arkansas,B,Union victory: Union victory allows for capture of Little Rock.
200,Battle of Davis's Cross Roads,"September 10–11, 1863",Georgia,C,Union victory: Union forces establish defensive positions prior to Chickamauga.
201,Battle of Chickamauga,"September 19–20, 1863",Georgia,A,"Confederate victory: Bragg defeats Rosecrans, George Thomas of US anointed ""The Rock of Chickamauga"""
202,"Battle of Blountville
(Battle of Blountsville)","September 22, 1863",Tennessee,D,Union victory: Union forces capture town.
203,Battle of Stirling's Plantation,"September 29, 1863",Louisiana,D,Confederate victory:
204,"Battle of Fort Blair
(Battle of Baxter Springs)","October 6, 1863",Kansas,C,Confederate victory: Quantrill's Raiders massacre Union Black Troops during U.S. Civil War.
205,Battle of Blue Springs,"October 10, 1863",Tennessee,D,Union victory: Confederate forces overrun.
206,First Battle of Auburn,"October 13, 1863",Virginia,D,Union victory: J.E.B. Stuart escapes by hiding in a ravine.
207,Battle of Bristoe Station,"October 14, 1863",Virginia,B,"Union victory: Meade defeats elements of Lee's forces, but Confederates destroy railroad during retreat."
208,Second Battle of Auburn,"October 14, 1863",Virginia,D,"Inconclusive: Confederates attack Union rearguard, indecisive."
209,Battle of Fort Brooke,"October 16–18, 1863",Florida,D,Union victory:
210,Battle of Buckland Mills,"October 19, 1863",Virginia,D,"Confederate victory: Union cavalry caught in ambush, defeated."
211,Battle of Pine Bluff,"October 25, 1863",Arkansas,D,Union victory: Confederate attack fails.
212,Battle of Wauhatchie,"October 28–29, 1863",Tennessee,B,Union victory: Longstreet defeated by Union forces.
213,Battle of Collierville,"November 3, 1863",Tennessee,D,Union victory: Abortive Confederate attack on the town.
214,Battle of Droop Mountain,"November 6, 1863",West Virginia,C,Union victory:
215,Second Battle of Rappahannock Station,"November 7, 1863",Virginia,B,"Union victory: Union forces surge across river, forcing Lee to retreat."
216,Battle of Campbell's Station,"November 16, 1863",Tennessee,D,Union victory: Confederate double-envelopment attempt fails.
217,Chattanooga Campaign,"November 23–25, 1863",Tennessee,A,Union victory: Grant defeats Braxton Bragg and relieves Union forces besieged in Chattanooga.
218,Battle of Mine Run,"November 27 –
December 2, 1863",Virginia,B,Inconclusive: Meade bombards Lee's Confederates but then withdraws.
219,Battle of Ringgold Gap,"November 27, 1863",Georgia,B,Confederate victory: Confederates under Patrick Cleburne defeat Union forces under Joseph Hooker.
220,Battle of Fort Sanders,"November 29, 1863",Tennessee,B,Union victory: Longstreet unable to take fort due to poor quality gunpowder.
221,Battle of Bean's Station,"December 14, 1863",Tennessee,D,Confederate victory: Union forces withdraw a short distance.
222,Battle of Mossy Creek,"December 29, 1863",Tennessee,D,Union victory: Confederate cavalry forced back.
223,Battle of Dandridge,"January 17, 1864",Tennessee,C,Confederate victory: Union forces withdraw.
224,Battle of Athens,"January 26, 1864",Alabama,D,Union victory: Union victory in Northern Alabama.
225,Battle of Fair Garden,"January 27, 1864",Tennessee,C,Inconclusive: Union victory followed by withdrawal.
226,Battle of Morton's Ford,"February 6–7, 1864",Virginia,D,Inconclusive: Diversionary Union attack.
227,Battle of Middle Boggy Depot,"February 13, 1864","Oklahoma
(Indian Territory
at the time)",D,Union victory:
228,Battle of Meridian,"February 14–20, 1864",Mississippi,C,Union victory: Sherman occupies town
229,Battle of Olustee,"February 20, 1864",Florida,B,Confederate victory: Union can't take Florida
230,Battle of Okolona,"February 22, 1864",Mississippi,B,"Confederate victory: Confederate cavalry, commanded by Maj. Gen. Nathan Bedford Forrest, routed 7,000 cavalry under the command of Brig. Gen. William Sooy Smith."
231,First Battle of Dalton,"February 22–27, 1864",Georgia,C,"Confederate victory: After several days of intense skirmishing, Maj. Gen. George H. Thomas's army withdrew upon realizing Gen. Joseph E. Johnston's troops could repel any assault. However, the intelligence garnered from the Battle of Dalton helped pave the way for a Union victory that summer."
232,Battle of Walkerton,"March 2, 1864",Virginia,C,Confederate victory: controversy surrounding the Dahlgren Affair.
233,Battle of Fort De Russy,"March 12, 1864",Louisiana,B,Union victory: Fort DeRussy fell and the Red River to Alexandria was open.
234,Battle of Paducah,"March 25, 1864",Kentucky,C,Confederate victory: Confederate raid by Forrest successful.
235,Battle of Elkin's Ferry,"April 3–4, 1864",Arkansas,C,Union victory: Confederates unable to prevent Union river crossing.
236,Battle of Mansfield,"April 8, 1864",Louisiana,A,Confederate victory: Banks Union Red River Campaign halted by the Confederates.
237,Battle of Prairie D'Ane,"April 9–13, 1864",Arkansas,B,Union victory: Frederick Steele defeats Sterling Price.
238,Battle of Pleasant Hill,"April 9, 1864",Louisiana,B,Union victory: Confederate attack fails.
239,Battle of Fort Pillow,"April 12, 1864",Tennessee,B,"Confederate victory: N.B. Forrest takes fort, massacres black soldiers."
240,Battle of Blair's Landing,"April 12–13, 1864",Louisiana,C,Union victory:
241,Battle of Plymouth,"April 17, 1864",North Carolina,C,"Confederate victory: Confederate land forces, supported by naval ram, retake two Union forts near Plymouth, North Carolina."
242,Battle of Poison Spring,"April 18, 1864",Arkansas,C,"Confederate victory: Part of Red River Campaign in Arkansas, black troops massacred."
243,Battle of Monett's Ferry,"April 23, 1864",Louisiana,C,Union victory: Confederate forces driven back.
244,Battle of Marks' Mills,"April 25, 1864",Arkansas,D,Confederate victory: Part of Red River Campaign in Arkansas.
245,Battle of Jenkins' Ferry,"April 30, 1864",Arkansas,C,Union victory: Part of Red River Campaign in Arkansas.
246,Battle of Albemarle Sound,"May 5, 1864",North Carolina,C,Inconclusive: Indecisive naval battle during U.S. Civil War.
247,Battle of the Wilderness,"May 5–7, 1864",Virginia,A,Inconclusive: Grant and Lee meet inconclusively.
248,Battle of Port Walthall Junction,"May 6–7, 1864",Virginia,C,Union victory: Union forces destroy railroad
249,Battle of Rocky Face Ridge,"May 7–13, 1864",Georgia,C,"Union victory: Due to a flanking movement by Union troops under Maj. Gen. William Tecumseh Sherman, Confederates led by Gen. Joseph E. Johnston were forced to evacuate their strong position near Atlanta."
250,Battle of Spotsylvania Court House,"May 8–21, 1864",Virginia,A,"Inconclusive: Grant and Lee meet inconclusively, Grant writes to Halleck ""I propose to fight it out on this line if it takes all summer""."
251,Battle of Swift Creek,"May 9, 1864",Virginia,C,"Inconclusive: Union forces damage railroad, but are stopped by Confederate forces."
252,Battle of Cloyd's Mountain,"May 9, 1864",Virginia,C,"Union victory: Union victory, Confederate General Albert G. Jenkins killed."
253,Battle of Chester Station,"May 10, 1864",Virginia,D,Inconclusive: Union forces under Benjamin Butler pushed back.
254,Battle of Cove Mountain,"May 10, 1864",Virginia,D,Union victory: Union victory after brief battle.
255,Battle of Yellow Tavern,"May 11, 1864",Virginia,C,"Union victory: Union forces win cavalry battle, J.E.B. Stuart is mortally wounded."
256,Battle of Proctor's Creek,"May 12–16, 1864",Virginia,B,Confederate victory: Beauregard defeats Butler.
257,Battle of Resaca,"May 13, 1864",Georgia,C,Inconclusive: Sherman defeats Johnston
258,Battle of New Market,"May 15, 1864",Virginia,B,Confederate victory: Confederate forces halt Union army under Franz Sigel from advance up Shenandoah Valley.
259,Battle of Mansura,"May 16, 1864",Louisiana,C,Union victory:
260,Battle of Adairsville,"May 17, 1864",Georgia,C,Union victory: Failed Confederate attempt to destroy part of the Union force approaching Atlanta.
261,Battle of Yellow Bayou,"May 18, 1864",Louisiana,C,Union victory:
262,Battle of Ware Bottom Church,"May 20, 1864",Virginia,C,Confederate victory: Beauregard boxes Butler in.
263,Battle of North Anna,"May 23–26, 1864",Virginia,B,"Inconclusive: Lee outmaneuvers Grant, but because of illness, he is unable to capitalize."
264,Battle of Wilson's Wharf,"May 24, 1864",Virginia,D,Union victory: Confederates under Fitzhugh Lee defeated by two Union black regiments.
265,Battle of New Hope Church,"May 25–26, 1864",Georgia,C,Confederate victory: Hooker's forces defeated.
266,Battle of Dallas(Georgia),"May 26 – June 4, 1864",Georgia,C,Union victory: Confederate withdrawal in Georgia.
267,Battle of Pickett's Mill,"May 27, 1864",Georgia,C,Confederate victory: Unsuccessful attack by Sherman on Johnston.
268,Battle of Haw's Shop,"May 28, 1864",Virginia,C,Union victory: Union advance halted.
269,Battle of Totopotomoy Creek,"May 28–30, 1864",Virginia,B,Inconclusive: Union forces pushed back.
270,Battle of Old Church,"May 30, 1864",Virginia,C,Union victory: Union forces drive Confederates back to Cold Harbor.
271,Battle of Cold Harbor,"May 31 –
June 12, 1864",Virginia,A,"Confederate victory: Lee repulses Grant, Confederate general says ""This is not war, this is murder""."
272,Battle of Piedmont,"June 5, 1864",Virginia,B,"Union victory: Union forces under David Hunter defeat Confederate defenses on march to Staunton, Virginia, upperShenandoah Valley."
273,Battle of Old River Lake,"June 6, 1864",Arkansas,D,Union victory:
274,Battle of Marietta,"June 6 – July 3, 1864",Georgia,B,Union victory: Sherman defeats Johnston.
275,First Battle of Petersburg,"June 9, 1864",Virginia,D,Confederate victory: Beauregard defeats Butler.
276,Battle of Brice's Crossroads,"June 10, 1864",Mississippi,B,Confederate victory: N.B. Forrest routs Union force almost three times as large.
277,Battle of Cynthiana,"June 11–12, 1864",Kentucky,C,"Union victory: Union Brig. Gen. Stephen Gano Burbridge defeated Confederate Brig. Gen. John Hunt Morgan. Most Confederate soldiers were casualties, though Morgan escaped.]"
278,Battle of Trevilian Station,"June 11–12, 1864",Virginia,B,"Confederate victory: Confederate victory, George Armstrong Custer nearly surrounded and has to be rescued by Sheridan."
279,Second Battle of Petersburg,"June 15–18, 1864",Virginia,A,Confederate victory: Lee repulses Grant at back door to Richmond.
280,Battle of Lynchburg,"June 17–18, 1864",Virginia,B,Confederate victory: Fake Confederate reinforcements lead to Union retreat.
281,Battle of Jerusalem Plank Road,"June 21–24, 1864",Virginia,B,Inconclusive: Union siege lines extended for Siege of Petersburg.
282,Battle of Kolb's Farm,"June 22, 1864",Georgia,C,Union victory: Confederate attack fails due to poor terrain conditions.
283,Battle of Saint Mary's Church,"June 24, 1864",Virginia,D,Inconclusive: Union forces fight a successful delaying action.
284,Battle of Staunton River Bridge,"June 25, 1864",Virginia,C,Confederate victory:
285,Battle of Kennesaw Mountain,"June 27, 1864",Georgia,B,Confederate victory: Johnston repulses Sherman.
286,Battle of Sappony Church,"June 28, 1864",Virginia,D,Confederate victory:
287,First Battle of Ream's Station,"June 29, 1864",Virginia,C,"Confederate victory: Maj. Gen. William Mahone and Brig. Gen. Fitzhugh Lee defeated Union cavalry raiding Confederate railroads south of Petersburg, Virginia."
288,"Battle of Monocacy
(Battle of Monocacy Junction)","July 9, 1864",Maryland,B,"Confederate victory: Union Gen. Lew Wallace slows up Jubal Early, saving DC."
289,Battle of Fort Stevens,"July 11–12, 1864",District of Columbia,B,"Union victory: Failed Confederate attempt to capture Washington, D.C., President Lincoln, observing the battle, comes under Confederate fire."
290,Battle of Tupelo,"July 14–15, 1864",Mississippi,B,Union victory: Nathan Bedford Forrest
291,Battle of Cool Spring,"July 18–19, 1864",Virginia,C,Confederate victory:
292,Battle of Peachtree Creek,"July 20, 1864",Georgia,B,Union victory: (Atlanta Campaign) First Confederate attack against Union forces north of Atlanta fails.
293,Battle of Rutherford's Farm,"July 20, 1864",Virginia,D,Union victory: Confederates under Jubal Early caught by surprise and defeated.
294,Battle of Atlanta,"July 22, 1864",Georgia,B,Union victory: (Atlanta Campaign) Sherman turns back Hood's attack east of Atlanta.
295,Second Battle of Kernstown,"July 24, 1864",Virginia,B,Confederate victory: Jubal Early defeats Union forces.
296,Battle of Killdeer Mountain,"July 26, 1864","North Dakota
(Dakota Territory
at the time)",C,* Sioux Wars/Dakota War of 1862: Union forces defeat Sioux.
297,First Battle of Deep Bottom,"July 27–29, 1864",Virginia,C,Confederate victory:
298,Battle of Ezra Church,"July 28, 1864",Georgia,B,"Union victory: (Atlanta Campaign) Confederate attack on Union army northwest of Atlanta fails to gain element of surprise, finding entrenched Union forces. Union victory."
299,Battle of the Crater,"July 30, 1864",Virginia,A,Confederate victory: Lee defeats Burnside.
300,Battle of Folck's Mill,"August 1, 1864",Maryland,D,Inconclusive: Indecisive Civil War battle.
301,Battle of Mobile Bay,"August 2–23, 1864",Alabama,A,"Union victory: David Farragut takes port, says ""Damn the torpedoes, full speed ahead""."
302,Battle of Utoy Creek,"August 5–7, 1864",Georgia,C,Inconclusive: (Atlanta Campaign) Indecisive battle on Union right flank near Atlanta.
303,Battle of Moorefield,"August 7, 1864",West Virginia,C,Union victory:
304,Second Battle of Dalton,"August 14–15, 1864",Georgia,D,Union victory: Union forces withstand attack until relieved.
305,Second Battle of Deep Bottom,"August 14–20, 1864",Virginia,B,"Confederate victory: The Confederates drove back the Union threat, but at a cost of diluting their forces as the Union had hoped."
306,Battle of Guard Hill,"August 16, 1864",Virginia,C,Inconclusive:
307,Battle of Globe Tavern,"August 18–21, 1864",Virginia,B,Union victory: Confederate forces lose control of railroads at Petersburg.
308,Battle of Lovejoy's Station,"August 20, 1864",Georgia,D,Confederate victory: Confederates repel Union raiders attacking the station.
309,Second Battle of Memphis,"August 21, 1864",Tennessee,C,Union victory: Partially successful Confederate raid.
310,Battle of Summit Point,"August 21, 1864",West Virginia,D,Inconclusive:
311,Second Battle of Ream's Station,"August 25, 1864",Virginia,B,Confederate victory: Union lines overrun by Confederates.
312,Battle of Smithfield Crossing,"August 25–29, 1864",West Virginia,D,Inconclusive:
313,Battle of Jonesborough,"August 31 –
September 1, 1864",Georgia,A,"Union victory: William J. Hardee's Confederates defeated, resulting in Atlanta's fall the following day."
314,Battle of Berryville,"September 3–4, 1864",Virginia,C,"Inconclusive: At the same time Confederate Lt. Gen. Jubal A. Early sent Maj. Gen. Joseph B. Kershaw's division to attack Colonel Joseph Thoburn's division of the VIII Corps, and Kershaw initially routed Thoburn's left flank. Darkness ended the fighting. The next morning, Early, seeing the strength of the Union's entrenched line, retreated behindOpequon Creek."
315,"Battle of Opequon
(Third Battle of Winchester)","September 19, 1864",Virginia,A,"Union victory: Sheridan defeats Early, several officers killed or wounded on both sides."
316,Battle of Fisher's Hill,"September 21–22, 1864",Virginia,B,Union victory: Successful Union frontal assault.
317,Battle of Fort Davidson,"September 27, 1864",Missouri,B,Union victory: Union forces detonate their own fort after losing to Confederates.
318,"Battle of Chaffin's Farm
(New Market Heights)","September 29–30, 1864",Virginia,B,"Union victory: Union forces victorious, but fail to capture several forts."
319,Battle of Peebles' Farm,"September 30 – October 2, 1864",Virginia,B,Union victory: Union victory near Petersburg.
320,First Battle of Saltville,"October 1–3, 1864",Virginia,C,"Confederate victory: Confederates defeat Union Black Cavalry, war crimes committed against captured blacks."
321,Battle of Allatoona,"October 5, 1864",Georgia,B,Union victory: Union fortifications hold.
322,Battle of Darbytown and New Market,"October 7, 1864",Virginia,C,Union victory:
323,Battle of Tom's Brook,"October 9, 1864",Virginia,C,Union victory: Union cavalry defeats Confederates.
324,Battle of Darbytown Road,"October 13, 1864",Virginia,D,Union victory: Confederate attack repelled near Richmond.
325,Battle of Glasgow,"October 15, 1864",Missouri,C,Confederate victory: Union forces surrender.
326,Second Battle of Lexington,"October 19, 1864",Missouri,D,Confederate victory: Union forces driven out of town.
327,Battle of Cedar Creek,"October 19, 1864",Virginia,A,"Union victory: Sheridan defeats Early, drives Confederates from Shenandoah Valley."
328,Battle of Little Blue River,"October 21, 1864",Missouri,D,Confederate victory: Confederate victory in Missouri.
329,Battle of Byram's Ford,"October 22–23, 1864",Missouri,B,Union victory: Confederates under Marmaduke defeated.
330,Second Battle of Independence,"October 22, 1864",Missouri,C,Confederate victory: Union forces occupy town.
331,Battle of Westport,"October 23, 1864",Missouri,A,Union victory: Union forces win decisive battle to take control of Missouri.
332,Battle of Marais des Cygnes,"October 25, 1864",Kansas,C,Union victory: Price's Confederates pursued into Kansas.
333,Battle of Mine Creek,"October 25, 1864",Kansas,C,"Union victory: Price's army crushed, flees back into Missouri."
334,Battle of Marmiton River,"October 25, 1864",Missouri,D,Union victory: Price escapes Union pursuit.
335,Battle of Decatur,"October 26–29, 1864",Alabama,C,Union victory: Confederates unable to cross river.
336,Battle of Boydton Plank Road,"October 27–28, 1864",Virginia,B,"Inconclusive: Union forces take control of road, but withdraw after battle."
337,Battle of Fair Oaks & Darbytown Road,"October 27–28, 1864",Virginia,C,Confederate victory:
338,Second Battle of Newtonia,"October 28, 1864",Missouri,B,Union victory: James G. Blunt defeats Joseph O. Shelby.
339,Battle of Johnsonville,"November 4–5, 1864",Tennessee,B,Confederate victory: Confederates bombard Union forces during the night after a fire starts near union positions.
340,Battle of Bull's Gap,"November 11–13, 1864",Tennessee,D,Confederate victory: Minor Confederate victory during U.S. Civil War.
341,Battle of Griswoldville,"November 22, 1864",Georgia,B,Union victory: Sherman's march to the sea continued.
342,Battle of Columbia,"November 24, 1864",Tennessee,C,Confederate victory: Confederates divert attention.
343,Battle of Buck Head Creek,"November 28, 1864",Georgia,C,Union victory:
344,Battle of Spring Hill,"November 29, 1864",Tennessee,B,"Union victory: Confederate mistakes allow Federal forces to redeploy, leading to the Battle of Franklin."
345,Sand Creek massacre,"November 29, 1864","Colorado
(Colorado Territory
at the time)",B,* Colorado War: U.S. forces massacre Cheyenne and Arapaho.
346,Battle of Honey Hill,"November 30, 1864",South Carolina,C,Confederate victory: The third battle of Sherman's March to the Sea was a failed Union Army expedition under Maj. Gen. John P. Hatch that attempted to cut off the Charleston and Savannah Railroad in support of Sherman's projected arrival in Savannah.
347,Battle of Franklin (1864),"November 30, 1864",Tennessee,A,Union victory: Hood attacks Schofield but suffers crushing losses; Pickett's Charge of the West.
348,"Battle of Waynesboro, Georgia","December 4, 1864",Georgia,C,Union victory: Kilpatrick stops Wheeler from attacking Sherman.
349,Third Battle of Murfreesboro,"December 5–7, 1864",Tennessee,D,Union victory: Confederate raid mostly unsuccessful.
350,First Battle of Fort Fisher,"December 7–27, 1864",North Carolina,C,Confederate victory: Failed Union attempt to take fort.
351,Second Battle of Fort McAllister,"December 13, 1864",Georgia,B,Union victory:
352,Battle of Nashville,"December 15–16, 1864",Tennessee,A,Union victory: Thomas attacks and virtually destroys Hood's Confederate Army of Tennessee.
353,Battle of Marion,"December 17–18, 1864",Virginia,D,Union victory:
354,Second Battle of Saltville,"December 20–21, 1864",Virginia,C,"Union victory: Confederate forces retreated, and General George Stoneman's troops entered the town and destroyed the saltworks."
355,Second Battle of Fort Fisher,"January 13–15, 1865",North Carolina,A,Union victory: Union takes fort.
356,Battle of Rivers' Bridge,"February 3, 1865",South Carolina,D,Union victory: Union forces capture river crossing.
357,Battle of Hatcher's Run,"February 5–7, 1865",Virginia,B,Union victory: Union force launch unexpected attack.
358,Battle of Wilmington (North Carolina),"February 22, 1865",North Carolina,D,Union victory: Last Confederate port falls.
359,"Battle of Waynesboro, Virginia","March 2, 1865",Virginia,B,Union victory: Remnants of Confederate Army of the Valley are destroyed.
360,Battle of Natural Bridge,"March 6, 1865",Florida,C,Confederate victory: Confederate victory in Florida prevents the capture of Tallahassee.
361,Battle of Wyse Fork,"March 7–10, 1865",North Carolina,D,Union victory: Confederate attacks repelled by Union artillery.
362,Battle of Monroe's Cross Roads,"March 10, 1865",North Carolina,D,Inconclusive:
363,Battle of Averasborough,"March 16, 1865",North Carolina,C,"Inconclusive: Union and Confederate forces attack one another in turn, both attacks fail."
364,Battle of Bentonville,"March 19–21, 1865",North Carolina,A,Union victory: Sherman defeats Confederates
365,Battle of Fort Stedman,"March 25, 1865",Virginia,A,Union victory: Lee attempts to break siege.
366,Battle of Spanish Fort,"March 27 – April 8, 1865",Alabama,B,Union victory: Union forces capture fort just east of Mobile.
367,Battle of Lewis's Farm,"March 29, 1865",Virginia,C,Union victory: Union forces capture Confederate earthworks.
368,Battle of White Oak Road,"March 31, 1865",Virginia,B,Union victory: Confederate forces under Richard H. Anderson defeated.
369,Battle of Dinwiddie Court House,"March 31, 1865",Virginia,C,Confederate victory: Pickett defeats Sheridan.
370,Battle of Five Forks,"April 1, 1865",Virginia,A,Union victory: Sheridan routs Confederates.
371,Battle of Selma,"April 2, 1865",Alabama,B,Union victory: Wilson defeats Forrest.
372,Third Battle of Petersburg,"April 2, 1865",Virginia,A,Union victory: Grant defeats Lee.
373,Battle of Sutherland's Station,"April 2, 1865",Virginia,C,Union victory: Lee's supply lines are cut.
374,Battle of Fort Blakely,"April 2–9, 1865",Alabama,A,Union victory: Union forces capture fort outside of Mobile.
375,Battle of Namozine Church,"April 3, 1865",Virginia,D,"Confederate victory: Several Confederates captured, Custer's brother earns Medal of Honor."
376,Battle of Amelia Springs,"April 5, 1865",Virginia,C,Inconclusive:
377,Battle of Rice's Station,"April 6, 1865",Virginia,D,Union victory:
378,"Battle of Sayler's Creek
(or Sailor's Creek)","April 6, 1865",Virginia,B,Union victory: Lee realizes his army is on the verge of defeat.
379,Battle of High Bridge,"April 6–7, 1865",Virginia,C,"Inconclusive: Union forces thwart Lee's attempts to burn bridges and to resupply, Grant proposes that Lee surrender, but he refuses."
380,Battle of Cumberland Church,"April 7, 1865",Virginia,C,"Confederate victory: Union forces attack Confederate rearguard, but darkness cuts the attack short."
381,Battle of Appomattox Station,"April 8, 1865",Virginia,B,Union victory: Union forces thwart Lee's final attempt to resupply.
382,Battle of Appomattox Court House,"April 9, 1865",Virginia,A,Union victory: Lee's forces surrounded. He subsequently surrenders.
383,Battle of Palmito Ranch,"May 12–13, 1865",Texas,D,Confederate victory: Confederate victory in Texas during final phases of the Civil War.
